category_family,category_canonical,source_jurisdiction,source_label,source_count,coverage_matrix_status,publish_tier,mapping_confidence,notes
ASL|VEH|FRA|MIS|BNE|DRP|ROB|DRT|HOM,VEH,peel-prp,VEH,17728,catalog_known_categories_json,v1_deferred,high,cat-0076 peel_ecrimes_incidents
ASL|VEH|FRA|MIS|BNE|DRP|ROB|DRT|HOM,FRA,peel-prp,FRA,14937,catalog_known_categories_json,v1_deferred,high,cat-0076 peel_ecrimes_incidents
ASL|VEH|FRA|MIS|BNE|DRP|ROB|DRT|HOM,MIS,peel-prp,MIS,13948,catalog_known_categories_json,v1_deferred,high,cat-0076 peel_ecrimes_incidents
ASL|VEH|FRA|MIS|BNE|DRP|ROB|DRT|HOM,BNE,peel-prp,BNE,7666,catalog_known_categories_json,v1_deferred,high,cat-0076 peel_ecrimes_incidents
ASL|VEH|FRA|MIS|BNE|DRP|ROB|DRT|HOM,DRP,peel-prp,DRP,3045,catalog_known_categories_json,v1_deferred,high,cat-0076 peel_ecrimes_incidents
ASL|VEH|FRA|MIS|BNE|DRP|ROB|DRT|HOM,ROB,peel-prp,ROB,2512,catalog_known_categories_json,v1_deferred,high,cat-0076 peel_ecrimes_incidents
ASL|VEH|FRA|MIS|BNE|DRP|ROB|DRT|HOM,DRT,peel-prp,DRT,1257,catalog_known_categories_json,v1_deferred,high,cat-0076 peel_ecrimes_incidents
ASL|VEH|FRA|MIS|BNE|DRP|ROB|DRT|HOM,HOM,peel-prp,HOM,58,catalog_known_categories_json,v1_deferred,high,cat-0076 peel_ecrimes_incidents
occ_type,Theft Under $5000,yrp,Theft Under $5000,15714,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Fraud,yrp,Fraud,9779,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Assaults,yrp,Assaults,9330,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Other Persons Crime,yrp,Other Persons Crime,6577,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Mischief,yrp,Mischief,5437,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Other Property Crime,yrp,Other Property Crime,3878,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Theft of Motor Vehicle,yrp,Theft of Motor Vehicle,2711,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Impaired Operation,yrp,Impaired Operation,1966,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Break and Enter - Residential,yrp,Break and Enter - Residential,1934,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Missing Person,yrp,Missing Person,1600,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Other Criminal Code,yrp,Other Criminal Code,1249,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Drug Violations,yrp,Drug Violations,1161,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Theft Over $5000,yrp,Theft Over $5000,1110,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Break and Enter - Commercial,yrp,Break and Enter - Commercial,1054,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Sexual Violations,yrp,Sexual Violations,733,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Provincial Offences,yrp,Provincial Offences,686,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Robbery,yrp,Robbery,660,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Weapons Violations,yrp,Weapons Violations,584,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Cannabis Act,yrp,Cannabis Act,348,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Firearms Violations,yrp,Firearms Violations,197,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Public Morals,yrp,Public Morals,172,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Arson,yrp,Arson,151,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Break and Enter - Other,yrp,Break and Enter - Other,69,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Attempt Murder,yrp,Attempt Murder,41,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
occ_type,Homicide,yrp,Homicide,12,catalog_known_categories_json,v1_deferred,high,cat-0090 yrp_community_safety_incidents
crime_category,Assault,durham-drps,Assault,3103,catalog_known_categories_json,v1_deferred,high,cat-0093 durham_master
crime_category,Theft from MV,durham-drps,Theft from MV,1397,catalog_known_categories_json,v1_deferred,high,cat-0093 durham_master
crime_category,Vehicle Theft,durham-drps,Vehicle Theft,1164,catalog_known_categories_json,v1_deferred,high,cat-0093 durham_master
crime_category,Break & Enter,durham-drps,Break & Enter,1075,catalog_known_categories_json,v1_deferred,high,cat-0093 durham_master
crime_category,Impaired Operation,durham-drps,Impaired Operation,752,catalog_known_categories_json,v1_deferred,high,cat-0093 durham_master
crime_category,Robbery,durham-drps,Robbery,267,catalog_known_categories_json,v1_deferred,high,cat-0093 durham_master
crime_category,Shooting & Firearm Discharge,durham-drps,Shooting & Firearm Discharge,48,catalog_known_categories_json,v1_deferred,high,cat-0093 durham_master
crime_category,Homicide,durham-drps,Homicide,13,catalog_known_categories_json,v1_deferred,high,cat-0093 durham_master
DESCRIPTION,ROADSIDE TEST,halton-hrps,ROADSIDE TEST,10332,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,MVC - HIT & RUN,halton-hrps,MVC - HIT & RUN,1946,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,THEFT OF VEHICLE,halton-hrps,THEFT OF VEHICLE,1233,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,MVC - PI,halton-hrps,MVC - PI,1165,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,THEFT FROM AUTO,halton-hrps,THEFT FROM AUTO,1045,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,THEFT UNDER,halton-hrps,THEFT UNDER,1029,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,"PROPERTY DAMAGE UNDER $5,000",halton-hrps,"PROPERTY DAMAGE UNDER $5,000",773,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,BREAK AND ENTER HOUSE,halton-hrps,BREAK AND ENTER HOUSE,524,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,IMPAIRED DRIVING,halton-hrps,IMPAIRED DRIVING,493,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,THEFT OVER,halton-hrps,THEFT OVER,326,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,BREAK AND ENTER OTHER,halton-hrps,BREAK AND ENTER OTHER,228,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,BREAK AND ENTER SHOP,halton-hrps,BREAK AND ENTER SHOP,207,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,RECOVERED VEHICLE OTH SERVICE,halton-hrps,RECOVERED VEHICLE OTH SERVICE,205,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,THEFT OF BICYCLE,halton-hrps,THEFT OF BICYCLE,195,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,ROBBERY,halton-hrps,ROBBERY,155,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,OFFENSIVE WEAPONS,halton-hrps,OFFENSIVE WEAPONS,153,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,FEDERAL STATS - DRUGS,halton-hrps,FEDERAL STATS - DRUGS,115,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,ARSON,halton-hrps,ARSON,48,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,"PROPERTY DAMAGE OVER $5,000",halton-hrps,"PROPERTY DAMAGE OVER $5,000",39,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,DANGEROUS OPERATION - TRAFFIC,halton-hrps,DANGEROUS OPERATION - TRAFFIC,17,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,MVC - FATALITY,halton-hrps,MVC - FATALITY,15,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
DESCRIPTION,BREAK AND ENTER SCHOOL,halton-hrps,BREAK AND ENTER SCHOOL,9,catalog_known_categories_json,v1_deferred,high,cat-0105 halton_crime_map_incidents
"selected crimeTypes [1,6,7,10,11,16,17]",Theft Under or equal to $5000 - FROM Motor Vehicle - NO Damage,hamilton-hps,Theft Under or equal to $5000 - FROM Motor Vehicle - NO Damage,5267,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Theft - Truck,hamilton-hps,Theft - Truck,3781,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Break and Enter - Business,hamilton-hps,Break and Enter - Business,3161,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Break and Enter - Residence,hamilton-hps,Break and Enter - Residence,2575,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Theft - Automobile,hamilton-hps,Theft - Automobile,2350,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Theft Under or equal to $5000 - FROM Motor Vehicle - Damage,hamilton-hps,Theft Under or equal to $5000 - FROM Motor Vehicle - Damage,2283,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Break and Enter - Other,hamilton-hps,Break and Enter - Other,969,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Robbery - Business,hamilton-hps,Robbery - Business,269,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Theft Over $5000 - FROM Motor Vehicle - NO Damage,hamilton-hps,Theft Over $5000 - FROM Motor Vehicle - NO Damage,165,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Theft  - Motorcycle,hamilton-hps,Theft  - Motorcycle,150,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Robbery,hamilton-hps,Robbery,145,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Theft Over $5000 - FROM Motor Vehicle - Damage,hamilton-hps,Theft Over $5000 - FROM Motor Vehicle - Damage,110,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Robbery - Home Invasion,hamilton-hps,Robbery - Home Invasion,104,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Murder 2nd Degree,hamilton-hps,Murder 2nd Degree,20,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Murder 1st Degree,hamilton-hps,Murder 1st Degree,13,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Robbery - Delivery Person,hamilton-hps,Robbery - Delivery Person,5,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",11-95,hamilton-hps,11-95,1,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Destruct/Damage/Vandalize Prop,hamilton-hps,Destruct/Damage/Vandalize Prop,1,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
"selected crimeTypes [1,6,7,10,11,16,17]",Theft Under or equal to $5000 - FROM Motor Vehicle - NO Damage,hamilton-hps,Theft Under or equal to $5000 - FROM Motor Vehicle - NO Damage,5267,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Theft - Truck,hamilton-hps,Theft - Truck,3781,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Break and Enter - Business,hamilton-hps,Break and Enter - Business,3161,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Break and Enter - Residence,hamilton-hps,Break and Enter - Residence,2575,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Theft - Automobile,hamilton-hps,Theft - Automobile,2350,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Theft Under or equal to $5000 - FROM Motor Vehicle - Damage,hamilton-hps,Theft Under or equal to $5000 - FROM Motor Vehicle - Damage,2283,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Break and Enter - Other,hamilton-hps,Break and Enter - Other,969,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Robbery - Business,hamilton-hps,Robbery - Business,269,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Theft Over $5000 - FROM Motor Vehicle - NO Damage,hamilton-hps,Theft Over $5000 - FROM Motor Vehicle - NO Damage,165,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Theft  - Motorcycle,hamilton-hps,Theft  - Motorcycle,150,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Robbery,hamilton-hps,Robbery,145,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Theft Over $5000 - FROM Motor Vehicle - Damage,hamilton-hps,Theft Over $5000 - FROM Motor Vehicle - Damage,110,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Robbery - Home Invasion,hamilton-hps,Robbery - Home Invasion,104,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Murder 2nd Degree,hamilton-hps,Murder 2nd Degree,20,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Murder 1st Degree,hamilton-hps,Murder 1st Degree,13,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
"selected crimeTypes [1,6,7,10,11,16,17]",Robbery - Delivery Person,hamilton-hps,Robbery - Delivery Person,5,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
